iso3c,country,region,income_group,capital_city,is_aggregate
ABW,Aruba,Latin America & Caribbean,High income,Oranjestad,False
AFE,Africa Eastern and Southern,Aggregates,Aggregates,,True
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,False
AFR,Africa,Aggregates,Aggregates,,True
AFW,Africa Western and Central,Aggregates,Aggregates,,True
AGO,Angola,Sub-Saharan Africa,Lower middle income,Luanda,False
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,False
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,False
ARB,Arab World,Aggregates,Aggregates,,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,False
ARG,Argentina,Latin America & Caribbean,Upper middle income,Buenos Aires,False
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,False
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,False
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Saint John's,False
AUS,Australia,East Asia & Pacific,High income,Canberra,False
AUT,Austria,Europe & Central Asia,High income,Vienna,False
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,False
BDI,Burundi,Sub-Saharan Africa,Low income,Bujumbura,False
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,Aggregates,,True
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,Aggregates,,True
BEL,Belgium,Europe & Central Asia,High income,Brussels,False
BEN,Benin,Sub-Saharan Africa,Lower middle income,Porto-Novo,False
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Ouagadougou,False
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,False
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,False
BHI,IBRD countries classified as high income,Aggregates,Aggregates,,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,False
BHS,"Bahamas, The",Latin America & Caribbean,High income,Nassau,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo,False
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates,Aggregates,,True
BLR,Belarus,Europe & Central Asia,Upper middle income,Minsk,False
BLZ,Belize,Latin America & Caribbean,Upper middle income,Belmopan,False
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",Aggregates,Aggregates,,True
BMU,Bermuda,North America,High income,Hamilton,False
BOL,Bolivia,Latin America & Caribbean,Lower middle income,La Paz,False
BRA,Brazil,Latin America & Caribbean,Upper middle income,Brasilia,False
BRB,Barbados,Latin America & Caribbean,High income,Bridgetown,False
BRN,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan,False
BSS,Sub-Saharan Africa (IBRD-only countries),Aggregates,Aggregates,,True
BTN,Bhutan,South Asia,Lower middle income,Thimphu,False
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Gaborone,False
CAA,Sub-Saharan Africa (IFC classification),Aggregates,Aggregates,,True
CAF,Central African Republic,Sub-Saharan Africa,Low income,Bangui,False
CAN,Canada,North America,High income,Ottawa,False
CEA,East Asia and the Pacific (IFC classification),Aggregates,Aggregates,,True
CEB,Central Europe and the Baltics,Aggregates,Aggregates,,True
CEU,Europe and Central Asia (IFC classification),Aggregates,Aggregates,,True
CHE,Switzerland,Europe & Central Asia,High income,Bern,False
CHI,Channel Islands,Europe & Central Asia,High income,,False
CHL,Chile,Latin America & Caribbean,High income,Santiago,False
CHN,China,East Asia & Pacific,Upper middle income,Beijing,False
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Yamoussoukro,False
CLA,Latin America and the Caribbean (IFC classification),Aggregates,Aggregates,,True
CME,Middle East and North Africa (IFC classification),Aggregates,Aggregates,,True
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Yaounde,False
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Kinshasa,False
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Brazzaville,False
COL,Colombia,Latin America & Caribbean,Upper middle income,Bogota,False
COM,Comoros,Sub-Saharan Africa,Lower middle income,Moroni,False
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Praia,False
CRI,Costa Rica,Latin America & Caribbean,High income,San Jose,False
CSA,South Asia (IFC classification),Aggregates,Aggregates,,True
CSS,Caribbean small states,Aggregates,Aggregates,,True
CUB,Cuba,Latin America & Caribbean,Upper middle income,Havana,False
CUW,Curacao,Latin America & Caribbean,High income,Willemstad,False
CYM,Cayman Islands,Latin America & Caribbean,High income,George Town,False
CYP,Cyprus,Europe & Central Asia,High income,Nicosia,False
CZE,Czechia,Europe & Central Asia,High income,Prague,False
DEA,East Asia & Pacific (IDA-eligible countries),Aggregates,Aggregates,,True
DEC,Europe & Central Asia (IDA-eligible countries),Aggregates,Aggregates,,True
DEU,Germany,Europe & Central Asia,High income,Berlin,False
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Djibouti,False
DLA,Latin America & the Caribbean (IDA-eligible countries),Aggregates,Aggregates,,True
DMA,Dominica,Latin America & Caribbean,Upper middle income,Roseau,False
DMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA total)",Aggregates,Aggregates,,True
DNK,Denmark,Europe & Central Asia,High income,Copenhagen,False
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,Aggregates,,True
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Santo Domingo,False
DSA,South Asia (IDA-eligible countries),Aggregates,Aggregates,,True
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,Aggregates,,True
DSS,Sub-Saharan Africa (IDA-eligible countries),Aggregates,Aggregates,,True
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Algiers,False
EAP,East Asia & Pacific (excluding high income),Aggregates,Aggregates,,True
EAR,Early-demographic dividend,Aggregates,Aggregates,,True
EAS,East Asia & Pacific,Aggregates,Aggregates,,True
ECA,Europe & Central Asia (excluding high income),Aggregates,Aggregates,,True
ECS,Europe & Central Asia,Aggregates,Aggregates,,True
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Quito,False
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Cairo,False
EMU,Euro area,Aggregates,Aggregates,,True
ERI,Eritrea,Sub-Saharan Africa,Low income,Asmara,False
ESP,Spain,Europe & Central Asia,High income,Madrid,False
EST,Estonia,Europe & Central Asia,High income,Tallinn,False
ETH,Ethiopia,Sub-Saharan Africa,Low income,Addis Ababa,False
EUU,European Union,Aggregates,Aggregates,,True
FIN,Finland,Europe & Central Asia,High income,Helsinki,False
FJI,Fiji,East Asia & Pacific,Upper middle income,Suva,False
FRA,France,Europe & Central Asia,High income,Paris,False
FRO,Faroe Islands,Europe & Central Asia,High income,Torshavn,False
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,Palikir,False
FXS,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,Aggregates,,True
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Libreville,False
GBR,United Kingdom,Europe & Central Asia,High income,London,False
GEO,Georgia,Europe & Central Asia,Upper middle income,Tbilisi,False
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Accra,False
GIB,Gibraltar,Europe & Central Asia,High income,,False
GIN,Guinea,Sub-Saharan Africa,Lower middle income,Conakry,False
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Banjul,False
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Bissau,False
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Malabo,False
GRC,Greece,Europe & Central Asia,High income,Athens,False
GRD,Grenada,Latin America & Caribbean,Upper middle income,Saint George's,False
GRL,Greenland,Europe & Central Asia,High income,Nuuk,False
GTM,Guatemala,Latin America & Caribbean,Upper middle income,Guatemala City,False
GUM,Guam,East Asia & Pacific,High income,Agana,False
GUY,Guyana,Latin America & Caribbean,High income,Georgetown,False
HIC,High income,Aggregates,Aggregates,,True
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,False
HND,Honduras,Latin America & Caribbean,Lower middle income,Tegucigalpa,False
HPC,Heavily indebted poor countries (HIPC),Aggregates,Aggregates,,True
HRV,Croatia,Europe & Central Asia,High income,Zagreb,False
HTI,Haiti,Latin America & Caribbean,Lower middle income,Port-au-Prince,False
HUN,Hungary,Europe & Central Asia,High income,Budapest,False
IBB,"IBRD, including blend",Aggregates,Aggregates,,True
IBD,IBRD only,Aggregates,Aggregates,,True
IBT,IDA & IBRD total,Aggregates,Aggregates,,True
IDA,IDA total,Aggregates,Aggregates,,True
IDB,IDA blend,Aggregates,Aggregates,,True
IDN,Indonesia,East Asia & Pacific,Upper middle income,Jakarta,False
IDX,IDA only,Aggregates,Aggregates,,True
IMN,Isle of Man,Europe & Central Asia,High income,Douglas,False
IND,India,South Asia,Lower middle income,New Delhi,False
INX,Not classified,Aggregates,Aggregates,,True
IRL,Ireland,Europe & Central Asia,High income,Dublin,False
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Tehran,False
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Baghdad,False
ISL,Iceland,Europe & Central Asia,High income,Reykjavik,False
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,False
ITA,Italy,Europe & Central Asia,High income,Rome,False
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Kingston,False
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Amman,False
JPN,Japan,East Asia & Pacific,High income,Tokyo,False
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Astana,False
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Nairobi,False
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Bishkek,False
